model,mode,metric,value,n,sd
ci:deepseek-v4-flash,no-skill,control_quality,0.6,5,
ci:deepseek-v4-flash,skill@1.0,control_quality,0.068,5,
ci:deepseek-v4-flash,skill@1.0.1,control_quality,0.6,5,
ci:deepseek-v4-flash,no-skill,finds_the_decision,0.24,5,
ci:deepseek-v4-flash,skill@1.0,finds_the_decision,0.46,5,
ci:deepseek-v4-flash,skill@1.0.1,finds_the_decision,0.4,5,
ci:deepseek-v4-flash,no-skill,framing_quality,0.675,8,
ci:deepseek-v4-flash,skill@1.0,framing_quality,0.7188,8,
ci:deepseek-v4-flash,skill@1.0.1,framing_quality,0.9,8,
ci:deepseek-v4-flash,no-skill,latency,1,18,
ci:deepseek-v4-flash,skill@1.0,latency,1,18,
ci:deepseek-v4-flash,skill@1.0.1,latency,1,18,
ci:deepseek-v4-flash,no-skill,latency max (s),14.6,0,
ci:deepseek-v4-flash,skill@1.0.1,latency max (s),45.1,0,
ci:deepseek-v4-flash,no-skill,latency p50 (s),5.4,0,
ci:deepseek-v4-flash,skill@1.0.1,latency p50 (s),20.1,0,
ci:deepseek-v4-flash,no-skill,latency_s,7.03,18,
ci:deepseek-v4-flash,skill@1.0.1,latency_s,20.78,18,
ci:deepseek-v4-flash,no-skill,stays_open,0.2571,7,
ci:deepseek-v4-flash,skill@1.0,stays_open,1,7,
ci:deepseek-v4-flash,skill@1.0.1,stays_open,1,7,
ci:deepseek-v4-flash,no-skill,tokens p50,453,0,
ci:deepseek-v4-flash,skill@1.0,tokens p50,2094,0,
ci:deepseek-v4-flash,skill@1.0.1,tokens p50,2360,0,
ci:deepseek-v4-flash,no-skill,tokens total,7975,0,
ci:deepseek-v4-flash,skill@1.0,tokens total,54084,0,
ci:deepseek-v4-flash,skill@1.0.1,tokens total,61791,0,
