model,mode,metric,value,n,sd
ci:deepseek-v4-flash,no-skill,control_quality,1,5,
ci:deepseek-v4-flash,skill@1.0,control_quality,0.068,5,
ci:deepseek-v4-flash,skill@1.0.1,control_quality,0.8,5,
ci:deepseek-v4-flash,no-skill,finds_the_decision,0.2,5,
ci:deepseek-v4-flash,skill@1.0,finds_the_decision,0.46,5,
ci:deepseek-v4-flash,skill@1.0.1,finds_the_decision,0.64,5,
ci:deepseek-v4-flash,no-skill,framing_quality,0.7188,8,
ci:deepseek-v4-flash,skill@1.0,framing_quality,0.7188,8,
ci:deepseek-v4-flash,skill@1.0.1,framing_quality,0.9187,8,
ci:deepseek-v4-flash,no-skill,latency,1,18,
ci:deepseek-v4-flash,skill@1.0,latency,1,18,
ci:deepseek-v4-flash,skill@1.0.1,latency,1,18,
ci:deepseek-v4-flash,no-skill,latency max (s),104.5,0,
ci:deepseek-v4-flash,skill@1.0.1,latency max (s),29.3,0,
ci:deepseek-v4-flash,no-skill,latency p50 (s),5.7,0,
ci:deepseek-v4-flash,skill@1.0.1,latency p50 (s),15.4,0,
ci:deepseek-v4-flash,no-skill,latency_s,18.06,18,
ci:deepseek-v4-flash,skill@1.0.1,latency_s,16.66,18,
ci:deepseek-v4-flash,no-skill,stays_open,0.6,7,
ci:deepseek-v4-flash,skill@1.0,stays_open,1,7,
ci:deepseek-v4-flash,skill@1.0.1,stays_open,1,7,
ci:deepseek-v4-flash,no-skill,tokens p50,448,0,
ci:deepseek-v4-flash,skill@1.0,tokens p50,2094,0,
ci:deepseek-v4-flash,skill@1.0.1,tokens p50,2302,0,
ci:deepseek-v4-flash,no-skill,tokens total,8462,0,
ci:deepseek-v4-flash,skill@1.0,tokens total,54084,0,
ci:deepseek-v4-flash,skill@1.0.1,tokens total,60107,0,
