model,mode,metric,value,n,sd
ci:deepseek-v4-flash,no-skill,control_quality,0.0833,3,
ci:deepseek-v4-flash,skill@1.0,control_quality,0.1667,3,
ci:deepseek-v4-flash,no-skill,latency max (s),128.2,0,
ci:deepseek-v4-flash,skill@1.0,latency max (s),262.1,0,
ci:deepseek-v4-flash,no-skill,latency p50 (s),14.9,0,
ci:deepseek-v4-flash,skill@1.0,latency p50 (s),120.3,0,
ci:deepseek-v4-flash,no-skill,latency_s,29.21,9,
ci:deepseek-v4-flash,skill@1.0,latency_s,108.18,9,
ci:deepseek-v4-flash,no-skill,skill_quality,0.8333,6,
ci:deepseek-v4-flash,skill@1.0,skill_quality,0.8,6,
ci:deepseek-v4-flash,no-skill,skill_validates,0,7,
ci:deepseek-v4-flash,skill@1.0,skill_validates,0.8571,7,
ci:deepseek-v4-flash,no-skill,spec_budget_and_refs,0.1429,7,
ci:deepseek-v4-flash,skill@1.0,spec_budget_and_refs,0.7143,7,
ci:deepseek-v4-flash,no-skill,tokens p50,953,0,
ci:deepseek-v4-flash,skill@1.0,tokens p50,24321,0,
ci:deepseek-v4-flash,no-skill,tokens total,11150,0,
ci:deepseek-v4-flash,skill@1.0,tokens total,227482,0,
