model,mode,metric,value,n,sd
ci:deepseek-v4-flash,no-skill,bounded_scope,0.9,10,
ci:deepseek-v4-flash,skill@1.0,bounded_scope,1,10,
ci:deepseek-v4-flash,skill@1.0.1,bounded_scope,1,10,
ci:deepseek-v4-flash,no-skill,case_fidelity,0.5727,11,
ci:deepseek-v4-flash,skill@1.0,case_fidelity,0.7045,11,
ci:deepseek-v4-flash,skill@1.0.1,case_fidelity,0.7455,11,
ci:deepseek-v4-flash,no-skill,latency max (s),56,0,
ci:deepseek-v4-flash,skill@1.0,latency max (s),24.2,0,
ci:deepseek-v4-flash,skill@1.0.1,latency max (s),19.9,0,
ci:deepseek-v4-flash,no-skill,latency p50 (s),6.4,0,
ci:deepseek-v4-flash,skill@1.0,latency p50 (s),17.9,0,
ci:deepseek-v4-flash,skill@1.0.1,latency p50 (s),12.4,0,
ci:deepseek-v4-flash,no-skill,latency_s,10.07,11,
ci:deepseek-v4-flash,skill@1.0,latency_s,16.52,11,
ci:deepseek-v4-flash,skill@1.0.1,latency_s,12.60,11,
ci:deepseek-v4-flash,no-skill,no_invented_facts,0.9091,11,
ci:deepseek-v4-flash,skill@1.0,no_invented_facts,1,11,
ci:deepseek-v4-flash,skill@1.0.1,no_invented_facts,1,11,
ci:deepseek-v4-flash,no-skill,semantic_quality,0.7045,11,
ci:deepseek-v4-flash,skill@1.0,semantic_quality,0.7273,11,
ci:deepseek-v4-flash,skill@1.0.1,semantic_quality,0.8182,11,
ci:deepseek-v4-flash,no-skill,tokens p50,343,0,
ci:deepseek-v4-flash,skill@1.0,tokens p50,6605,0,
ci:deepseek-v4-flash,skill@1.0.1,tokens p50,6308,0,
ci:deepseek-v4-flash,no-skill,tokens total,4028,0,
ci:deepseek-v4-flash,skill@1.0,tokens total,71307,0,
ci:deepseek-v4-flash,skill@1.0.1,tokens total,64486,0,
