model,mode,metric,value,n,sd
ci:deepseek-v4-flash,no-skill,control_quality,0.6,5,
ci:deepseek-v4-flash,skill@1.0,control_quality,0.92,5,
ci:deepseek-v4-flash,skill@1.0.1,control_quality,0.76,5,
ci:deepseek-v4-flash,no-skill,honest_tradeoffs,0.4175,8,
ci:deepseek-v4-flash,skill@1.0,honest_tradeoffs,0.6225,8,
ci:deepseek-v4-flash,skill@1.0.1,honest_tradeoffs,1,8,
ci:deepseek-v4-flash,no-skill,latency,1,13,
ci:deepseek-v4-flash,skill@1.0,latency,1,13,
ci:deepseek-v4-flash,skill@1.0.1,latency,1,13,
ci:deepseek-v4-flash,no-skill,latency max (s),40.4,0,
ci:deepseek-v4-flash,skill@1.0,latency max (s),68.4,0,
ci:deepseek-v4-flash,skill@1.0.1,latency max (s),66.6,0,
ci:deepseek-v4-flash,no-skill,latency p50 (s),8.4,0,
ci:deepseek-v4-flash,skill@1.0,latency p50 (s),43.1,0,
ci:deepseek-v4-flash,skill@1.0.1,latency p50 (s),24.1,0,
ci:deepseek-v4-flash,no-skill,latency_s,14.07,13,
ci:deepseek-v4-flash,skill@1.0,latency_s,37.25,13,
ci:deepseek-v4-flash,skill@1.0.1,latency_s,32.72,13,
ci:deepseek-v4-flash,no-skill,proposal_quality,0.7813,8,
ci:deepseek-v4-flash,skill@1.0,proposal_quality,1,8,
ci:deepseek-v4-flash,skill@1.0.1,proposal_quality,0.875,8,
ci:deepseek-v4-flash,no-skill,tokens p50,553,0,
ci:deepseek-v4-flash,skill@1.0,tokens p50,6155,0,
ci:deepseek-v4-flash,skill@1.0.1,tokens p50,6132,0,
ci:deepseek-v4-flash,no-skill,tokens total,8099,0,
ci:deepseek-v4-flash,skill@1.0,tokens total,74925,0,
ci:deepseek-v4-flash,skill@1.0.1,tokens total,68684,0,
